id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,currency_id,year,month,deleted_at,created_at,updated_at
158,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,157501.19,0.0,157501.19,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
159,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,315500.0,0.0,315500.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
160,4.107,4107,Comercio Al Por Mayor Y Al Por Menor,0.0,1613600.0,0.0,1613600.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
161,4.118,4118,Servicios,0.0,125000.0,0.0,125000.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
162,4.118,4118,Servicios,0.0,5502001.0,0.0,5502001.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
163,4.118,4118,Servicios,0.0,470000.0,0.0,470000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
164,4.118,4118,Servicios,0.0,309000.0,0.0,309000.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
165,4.118,4118,Servicios,0.0,5200000.0,0.0,5200000.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
166,4.118,4118,Servicios,0.0,5250000.0,0.0,5250000.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
167,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,20000.0,20000.0,0.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
168,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,55769.230769,55769.230769,0.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
169,6.107,6107,Comercio Al Por Mayor Y Al Por Menor,0.0,122122.0,122122.0,0.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
